chemical,parameter,approach,species,value_average,range_value,unit,plasma/serum/ blood,n ,source,doi,comment,comment 2,comment 3
pfoa,partition coefficient,in vivo ,rats,0.04,,,plasma,,"Loccisano et al., 2011 ",10.1016/j.yrtph.2010.12.004,(cit. Kudo et al. 2007) RATS,,
pfoa,partition coefficient,"in vivo (post mortem, autopsy)",human,0.44,,,plasma,"38, 18, 22","Ratier et al., 2024",https://doi.org/10.1016/j.envint.2024.108621,"from mamsen et al., 2019 (https://doi.org/10.1016/j.envint.2019.01.010)",,
pfos,partition coefficient,"in vivo (post mortem, autopsy)",human,0.48,,,plasma,"38, 18, 22","Ratier et al., 2024",https://doi.org/10.1016/j.envint.2024.108621,"from mamsen et al., 2019 (https://doi.org/10.1016/j.envint.2019.01.010)",,
pfhxs,partition coefficient,,,0.038,,,,,Sweeney 2022 ,https://doi.org/10.1016/j.yrtph.2021.105099,(cit. Kim et al. 2018 estimated from RATS (ADIPOSE tissue),,
pfhxs,partition coefficient,,,0.011,,,,,Sweeney 2022 ,https://doi.org/10.1016/j.yrtph.2021.105099,(cit. Kim et al. 2018 estimated from RATS (ADIPOSE tissue),,
pfos,partition coefficient,in vivo,rats,0.8,,,plasma,,"Loccisano et al., 2011",10.1016/j.yrtph.2010.12.004,(cit. Kudo et al. 2007) RATS,,
pfos,partition coefficient,"in vivo (post mortem, autopsy)",human,1.26,,,plasma,,"Fabrega et al., 2016",,,,
pfos,partition coefficient,"in vivo (post mortem, autopsy)",human,0.55,,,serum,"38, 18, 22","Ratier et al., 2024",https://doi.org/10.1016/j.envint.2024.108621,"from mamsen et al., 2019 (https://doi.org/10.1016/j.envint.2019.01.010)",,
pfos,partition coefficient,in vivo,dairy cow,0.48,,,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,cit. Drew et al. 2019,,
pfos,partition coefficient,in vivo,beef cattle,0.48,,,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,cit. Drew et al. 2019,,
pfos,partition coefficient,in vivo,rats (male),0.25,,,,5,"Kim et al., 2016",https://doi.org/10.1016/j.fct.2016.09.01,0.25 ñ 0.03 (male),,
pfos,partition coefficient,in vivo,rats (female),0.22,,,,5,"Kim et al., 2016",https://doi.org/10.1016/j.fct.2016.09.01, 0.22 ñ 0.04 (female),,
